Country or Area,"Year","Unit","Value","Value Footnotes"
Senegal,"2011","Thousand metric tons","63",""
Senegal,"2010","Thousand metric tons","37",""
Senegal,"2009","Thousand metric tons","68",""
Senegal,"2008","Thousand metric tons","99",""
Senegal,"2007","Thousand metric tons","48",""
Senegal,"2006","Thousand metric tons","31",""
Senegal,"2005","Thousand metric tons","89",""
Senegal,"2004","Thousand metric tons","132",""
Senegal,"2003","Thousand metric tons","126",""
Senegal,"2002","Thousand metric tons","72",""
Senegal,"2001","Thousand metric tons","56",""
Senegal,"2000","Thousand metric tons","66",""
Senegal,"1999","Thousand metric tons","37",""
Senegal,"1998","Thousand metric tons","113",""
Senegal,"1997","Thousand metric tons","125",""
Senegal,"1996","Thousand metric tons","43",""
Senegal,"1995","Thousand metric tons","53",""
